that -> EDAT (Standard Braille Order, Individual Reading Order)
peak -> MBK (Merged Reading Order, Individual Reading Order)
raw -> NATHE (Standard Braille Order, Individual Reading Order)
raw -> UOUCH (Standard Braille Order, Merged Reading Order)
raw -> GHXCH (Individual Reading Order, Merged Reading Order)
raw -> EDCHU (Merged Reading Order, Standard Braille Order)
raw -> GHXCH (Merged Reading Order, Individual Reading Order)
sharp -> GHJR (Standard Braille Order, Individual Reading Order)
sharp -> WHFFG (Individual Reading Order, Standard Braille Order)
sharp -> YINS (Individual Reading Order, Merged Reading Order)
sharp -> UWITHI (Merged Reading Order, Standard Braille Order)
sharp -> YINS (Merged Reading Order, Individual Reading Order)
wet -> THECT (Standard Braille Order, Individual Reading Order)
wet -> OWYST (Individual Reading Order, Merged Reading Order)
wet -> OWINGP (Merged Reading Order, Standard Braille Order)
wet -> OWYST (Merged Reading Order, Individual Reading Order)
ram -> NAH (Standard Braille Order, Individual Reading Order)
ram -> ZBE (Standard Braille Order, Merged Reading Order)
ram -> PAH (Individual Reading Order, Standard Braille Order)
ram -> VCK (Individual Reading Order, Merged Reading Order)
ram -> PUA (Merged Reading Order, Standard Braille Order)
ram -> VCK (Merged Reading Order, Individual Reading Order)
fox -> LDOU (Standard Braille Order, Individual Reading Order)
fox -> DLOU (Individual Reading Order, Standard Braille Order)
fox -> PTHEEN (Merged Reading Order, Standard Braille Order)
mesh -> HCGH (Standard Braille Order, Individual Reading Order)
mesh -> HKWH (Individual Reading Order, Standard Braille Order)
mesh -> LSHEN (Merged Reading Order, Standard Braille Order)
dean -> OINGK (Merged Reading Order, Standard Braille Order)
pub -> RWHK (Standard Braille Order, Individual Reading Order)
pub -> REM (Standard Braille Order, Merged Reading Order)
pub -> GGHC (Individual Reading Order, Standard Braille Order)
pub -> PKH (Individual Reading Order, Merged Reading Order)
pub -> PKH (Merged Reading Order, Individual Reading Order)
hop -> MDR (Standard Braille Order, Individual Reading Order)
hop -> ZGIN (Standard Braille Order, Merged Reading Order)
hop -> MLG (Individual Reading Order, Standard Braille Order)
hop -> VNBB (Individual Reading Order, Merged Reading Order)
hop -> VNBB (Merged Reading Order, Individual Reading Order)
mouth -> HXED (Standard Braille Order, Individual Reading Order)
mouth -> OFINGSH (Standard Braille Order, Merged Reading Order)
mouth -> HXZ (Individual Reading Order, Standard Braille Order)
mouth -> RSHGG (Merged Reading Order, Standard Braille Order)
gun -> PWHG (Standard Braille Order, Individual Reading Order)
gun -> OFGHAR (Standard Braille Order, Merged Reading Order)
gun -> NGHR (Individual Reading Order, Standard Braille Order)
gun -> ANDSHFF (Individual Reading Order, Merged Reading Order)
gun -> PTHEO (Merged Reading Order, Standard Braille Order)
gun -> ANDSHFF (Merged Reading Order, Individual Reading Order)
lens -> CHOD (Standard Braille Order, Merged Reading Order)
lens -> CHLO (Individual Reading Order, Merged Reading Order)
lens -> CHLO (Merged Reading Order, Individual Reading Order)
warm -> THEJH (Standard Braille Order, Individual Reading Order)
warm -> WFFF (Standard Braille Order, Merged Reading Order)
warm -> STWITHF (Merged Reading Order, Standard Braille Order)
rear -> EOFE (Standard Braille Order, Merged Reading Order)
rear -> KANDK (Individual Reading Order, Merged Reading Order)
rear -> YKK (Merged Reading Order, Standard Braille Order)
rear -> KANDK (Merged Reading Order, Individual Reading Order)
showed -> ERINOW (Standard Braille Order, Merged Reading Order)
mens -> GHIND (Standard Braille Order, Merged Reading Order)
mens -> SHBBO (Individual Reading Order, Merged Reading Order)
mens -> SHBBO (Merged Reading Order, Individual Reading Order)
bowl -> OLIN (Individual Reading Order, Merged Reading Order)
bowl -> OLIN (Merged Reading Order, Individual Reading Order)
kid -> EBBF (Standard Braille Order, Individual Reading Order)
kid -> ZENA (Individual Reading Order, Merged Reading Order)
kid -> ZENA (Merged Reading Order, Individual Reading Order)
dish -> FBBGH (Standard Braille Order, Individual Reading Order)
vary -> ZJER (Standard Braille Order, Individual Reading Order)
vary -> THSHOF (Standard Braille Order, Merged Reading Order)
vary -> EDFFOF (Individual Reading Order, Standard Braille Order)
vary -> ZWHAND (Individual Reading Order, Merged Reading Order)
vary -> MOFTHE (Merged Reading Order, Standard Braille Order)
vary -> ZWHAND (Merged Reading Order, Individual Reading Order)
arab -> JAK (Standard Braille Order, Individual Reading Order)
arab -> FFCCA (Standard Braille Order, Merged Reading Order)
arab -> FFAC (Individual Reading Order, Standard Braille Order)
arab -> SSTA (Individual Reading Order, Merged Reading Order)
arab -> SSTA (Merged Reading Order, Individual Reading Order)
bands -> KOFFF (Standard Braille Order, Individual Reading Order)
bands -> XOAR (Standard Braille Order, Merged Reading Order)
bands -> CERJ (Individual Reading Order, Standard Braille Order)
bands -> OULFF (Individual Reading Order, Merged Reading Order)
bands -> OULFF (Merged Reading Order, Individual Reading Order)
push -> RWHGH (Standard Braille Order, Individual Reading Order)
push -> OFAX (Standard Braille Order, Merged Reading Order)
push -> GGHWH (Individual Reading Order, Standard Braille Order)
push -> ANDAOU (Individual Reading Order, Merged Reading Order)
push -> ANDAOU (Merged Reading Order, Individual Reading Order)
tower -> WOFSH (Standard Braille Order, Merged Reading Order)
sum -> FFWHH (Standard Braille Order, Individual Reading Order)
sum -> GGAN (Standard Braille Order, Merged Reading Order)
sum -> JGHH (Individual Reading Order, Standard Braille Order)
sum -> THEAR (Individual Reading Order, Merged Reading Order)
sum -> THEAR (Merged Reading Order, Individual Reading Order)
dear -> ZSTK (Merged Reading Order, Standard Braille Order)
vat -> ZAT (Standard Braille Order, Individual Reading Order)
vat -> UWHH (Standard Braille Order, Merged Reading Order)
vat -> EDAT (Individual Reading Order, Standard Braille Order)
vat -> GHUM (Individual Reading Order, Merged Reading Order)
vat -> EDUST (Merged Reading Order, Standard Braille Order)
vat -> GHUM (Merged Reading Order, Individual Reading Order)
beer -> KCAND (Standard Braille Order, Individual Reading Order)
beer -> CKY (Individual Reading Order, Standard Braille Order)
sir -> FFBBN (Standard Braille Order, Individual Reading Order)
sir -> JZE (Standard Braille Order, Merged Reading Order)
sir -> ARVK (Individual Reading Order, Merged Reading Order)
sir -> ARVK (Merged Reading Order, Individual Reading Order)
twin -> IANDD (Standard Braille Order, Merged Reading Order)
spy -> FFRER (Standard Braille Order, Individual Reading Order)
spy -> WITHUZ (Standard Braille Order, Merged Reading Order)
spy -> JGOF (Individual Reading Order, Standard Braille Order)
spy -> WITHGHV (Individual Reading Order, Merged Reading Order)
spy -> WITHGHV (Merged Reading Order, Individual Reading Order)
chip -> CHBBR (Standard Braille Order, Individual Reading Order)
chip -> THINCC (Standard Braille Order, Merged Reading Order)
chip -> ZBBST (Individual Reading Order, Merged Reading Order)
chip -> ZBBST (Merged Reading Order, Individual Reading Order)
sit -> FFBBT (Standard Braille Order, Individual Reading Order)
sit -> OWZE (Standard Braille Order, Merged Reading Order)
echo -> CCHD (Standard Braille Order, Individual Reading Order)
echo -> KCHL (Individual Reading Order, Standard Braille Order)
fig -> LBBP (Standard Braille Order, Individual Reading Order)
stands -> CCOFFF (Standard Braille Order, Individual Reading Order)
stands -> THEINN (Standard Braille Order, Merged Reading Order)
stands -> CCERJ (Individual Reading Order, Standard Braille Order)
stands -> WBBR (Individual Reading Order, Merged Reading Order)
stands -> WBBR (Merged Reading Order, Individual Reading Order)
teach -> CCLCH (Standard Braille Order, Merged Reading Order)
teach -> STFCH (Individual Reading Order, Merged Reading Order)
teach -> ARCCH (Merged Reading Order, Standard Braille Order)
teach -> STFCH (Merged Reading Order, Individual Reading Order)
tab -> TAK (Standard Braille Order, Individual Reading Order)
tab -> FFHA (Standard Braille Order, Merged Reading Order)
tab -> TAC (Individual Reading Order, Standard Braille Order)
tab -> SMA (Individual Reading Order, Merged Reading Order)
tab -> THECA (Merged Reading Order, Standard Braille Order)
tab -> SMA (Merged Reading Order, Individual Reading Order)
beds -> KVFF (Standard Braille Order, Individual Reading Order)
beds -> CTHJ (Individual Reading Order, Standard Braille Order)
beds -> OULIN (Individual Reading Order, Merged Reading Order)
beds -> OULIN (Merged Reading Order, Individual Reading Order)
aged -> APV (Standard Braille Order, Individual Reading Order)
aged -> ANTH (Individual Reading Order, Standard Braille Order)
seed -> FFCV (Standard Braille Order, Individual Reading Order)
seed -> GGDCH (Standard Braille Order, Merged Reading Order)
seed -> JKTH (Individual Reading Order, Standard Braille Order)
seed -> THEOCH (Individual Reading Order, Merged Reading Order)
seed -> THESHEN (Merged Reading Order, Standard Braille Order)
seed -> THEOCH (Merged Reading Order, Individual Reading Order)
peer -> RCAND (Standard Braille Order, Individual Reading Order)
peer -> OFTHCH (Standard Braille Order, Merged Reading Order)
peer -> GKY (Individual Reading Order, Standard Braille Order)
peer -> ANDZCH (Individual Reading Order, Merged Reading Order)
peer -> ANDZCH (Merged Reading Order, Individual Reading Order)
inner -> BBRY (Individual Reading Order, Standard Braille Order)
leg -> OCP (Standard Braille Order, Individual Reading Order)
leg -> ZTHA (Standard Braille Order, Merged Reading Order)
leg -> FKN (Individual Reading Order, Standard Braille Order)
leg -> VZA (Individual Reading Order, Merged Reading Order)
leg -> ANDCHBB (Merged Reading Order, Standard Braille Order)
leg -> VZA (Merged Reading Order, Individual Reading Order)
tiny -> TBBOF (Individual Reading Order, Standard Braille Order)
tiny -> INGTHV (Individual Reading Order, Merged Reading Order)
tiny -> STANDV (Merged Reading Order, Standard Braille Order)
tiny -> INGTHV (Merged Reading Order, Individual Reading Order)
rob -> NDK (Standard Braille Order, Individual Reading Order)
rob -> OGK (Standard Braille Order, Merged Reading Order)
rob -> PLC (Individual Reading Order, Standard Braille Order)
rob -> LNB (Individual Reading Order, Merged Reading Order)
rob -> ANDBB (Merged Reading Order, Standard Braille Order)
rob -> LNB (Merged Reading Order, Individual Reading Order)
mining -> AANDEN (Merged Reading Order, Standard Braille Order)
jet -> SCT (Standard Braille Order, Individual Reading Order)
jet -> ARKT (Individual Reading Order, Standard Braille Order)
jet -> OWINGL (Merged Reading Order, Standard Braille Order)
mad -> HAF (Standard Braille Order, Individual Reading Order)
mad -> HAO (Individual Reading Order, Standard Braille Order)
shoe -> GHDC (Standard Braille Order, Individual Reading Order)
shoe -> WHLK (Individual Reading Order, Standard Braille Order)
shoe -> LIS (Merged Reading Order, Standard Braille Order)
joy -> SDER (Standard Braille Order, Individual Reading Order)
joy -> ARLOF (Individual Reading Order, Standard Braille Order)
joy -> STHEV (Merged Reading Order, Standard Braille Order)
seal -> CCOE (Standard Braille Order, Merged Reading Order)
seal -> STLK (Individual Reading Order, Merged Reading Order)
seal -> STLK (Merged Reading Order, Individual Reading Order)
ill -> BBOO (Standard Braille Order, Individual Reading Order)
ill -> FFOIN (Standard Braille Order, Merged Reading Order)
ill -> SLBB (Individual Reading Order, Merged Reading Order)
ill -> SLBB (Merged Reading Order, Individual Reading Order)
lay -> OAER (Standard Braille Order, Individual Reading Order)
lay -> ZCHWH (Standard Braille Order, Merged Reading Order)
lay -> FAOF (Individual Reading Order, Standard Braille Order)
lay -> VCHU (Individual Reading Order, Merged Reading Order)
lay -> VCHU (Merged Reading Order, Individual Reading Order)
wings -> OWHT (Standard Braille Order, Merged Reading Order)
bet -> KCT (Standard Braille Order, Individual Reading Order)
bet -> CKT (Individual Reading Order, Standard Braille Order)
throw -> EDTOW (Individual Reading Order, Merged Reading Order)
throw -> OUOWED (Merged Reading Order, Standard Braille Order)
throw -> EDTOW (Merged Reading Order, Individual Reading Order)
dad -> FAF (Standard Braille Order, Individual Reading Order)
dad -> OAO (Individual Reading Order, Standard Braille Order)
yard -> ERJF (Standard Braille Order, Individual Reading Order)
yard -> EROWL (Standard Braille Order, Merged Reading Order)
yard -> OFFFO (Individual Reading Order, Standard Braille Order)
yard -> KERP (Merged Reading Order, Standard Braille Order)
pour -> RXN (Standard Braille Order, Individual Reading Order)
pour -> RYD (Standard Braille Order, Merged Reading Order)
pour -> GXP (Individual Reading Order, Standard Braille Order)
pour -> POFO (Individual Reading Order, Merged Reading Order)
pour -> FORMFF (Merged Reading Order, Standard Braille Order)
pour -> POFO (Merged Reading Order, Individual Reading Order)
dust -> FWHCC (Standard Braille Order, Individual Reading Order)
dust -> VEAAR (Standard Braille Order, Merged Reading Order)
dust -> OGHCC (Individual Reading Order, Standard Braille Order)
dust -> BTHEE (Merged Reading Order, Standard Braille Order)
tie -> TBBC (Standard Braille Order, Individual Reading Order)
tie -> JVA (Standard Braille Order, Merged Reading Order)
tie -> AREDA (Individual Reading Order, Merged Reading Order)
tie -> ARDK (Merged Reading Order, Standard Braille Order)
tie -> AREDA (Merged Reading Order, Individual Reading Order)
ward -> THEJF (Standard Braille Order, Individual Reading Order)
ward -> WEDBB (Standard Braille Order, Merged Reading Order)
ward -> STWP (Merged Reading Order, Standard Braille Order)
roof -> NDY (Standard Braille Order, Individual Reading Order)
roof -> OERZ (Standard Braille Order, Merged Reading Order)
roof -> PLAND (Individual Reading Order, Standard Braille Order)
roof -> LYV (Individual Reading Order, Merged Reading Order)
roof -> ANDLV (Merged Reading Order, Standard Braille Order)
roof -> LYV (Merged Reading Order, Individual Reading Order)
rush -> NWHGH (Standard Braille Order, Individual Reading Order)
rush -> ZBX (Standard Braille Order, Merged Reading Order)
rush -> PGHWH (Individual Reading Order, Standard Braille Order)
rush -> VCOU (Individual Reading Order, Merged Reading Order)
rush -> PGHWH (Merged Reading Order, Standard Braille Order)
rush -> VCOU (Merged Reading Order, Individual Reading Order)
wins -> ENGFF (Standard Braille Order, Merged Reading Order)
ghost -> UDCC (Standard Braille Order, Individual Reading Order)
ghost -> UCFF (Standard Braille Order, Merged Reading Order)
ghost -> SHLCC (Individual Reading Order, Standard Braille Order)
ghost -> GHES (Individual Reading Order, Merged Reading Order)
ghost -> GHES (Merged Reading Order, Individual Reading Order)
toe -> TDC (Standard Braille Order, Individual Reading Order)
toe -> FFEDK (Standard Braille Order, Merged Reading Order)
toe -> TLK (Individual Reading Order, Standard Braille Order)
toe -> STHB (Individual Reading Order, Merged Reading Order)
toe -> SFL (Merged Reading Order, Standard Braille Order)
toe -> STHB (Merged Reading Order, Individual Reading Order)
shit -> GHBBT (Standard Braille Order, Individual Reading Order)
ease -> INGHEA (Individual Reading Order, Merged Reading Order)
ease -> INGHEA (Merged Reading Order, Individual Reading Order)
arena -> CCBBC (Standard Braille Order, Merged Reading Order)
arena -> STIE (Individual Reading Order, Merged Reading Order)
arena -> INCE (Merged Reading Order, Standard Braille Order)
arena -> STIE (Merged Reading Order, Individual Reading Order)
lands -> OOFFF (Standard Braille Order, Individual Reading Order)
lands -> XON (Standard Braille Order, Merged Reading Order)
lands -> FERJ (Individual Reading Order, Standard Braille Order)
lands -> OULR (Individual Reading Order, Merged Reading Order)
lands -> OULR (Merged Reading Order, Individual Reading Order)
armed -> JHV (Standard Braille Order, Individual Reading Order)
armed -> WITHCCU (Standard Braille Order, Merged Reading Order)
armed -> FFHTH (Individual Reading Order, Standard Braille Order)
armed -> WITHSTGH (Individual Reading Order, Merged Reading Order)
armed -> WITHSTGH (Merged Reading Order, Individual Reading Order)
pine -> HSHK (Standard Braille Order, Merged Reading Order)
pine -> GBBK (Individual Reading Order, Standard Braille Order)
pine -> MWHB (Individual Reading Order, Merged Reading Order)
pine -> MFBB (Merged Reading Order, Standard Braille Order)
pine -> MWHB (Merged Reading Order, Individual Reading Order)
tend -> INGEDE (Individual Reading Order, Merged Reading Order)
tend -> ARSHO (Merged Reading Order, Standard Braille Order)
tend -> INGEDE (Merged Reading Order, Individual Reading Order)
candy -> BOFER (Standard Braille Order, Individual Reading Order)
candy -> EEROF (Individual Reading Order, Standard Braille Order)
candy -> FORENGG (Individual Reading Order, Merged Reading Order)
candy -> FORENGG (Merged Reading Order, Individual Reading Order)
finger -> ERWHING (Standard Braille Order, Merged Reading Order)
tough -> TXU (Standard Braille Order, Individual Reading Order)
tough -> FFQSH (Standard Braille Order, Merged Reading Order)
tough -> TXSH (Individual Reading Order, Standard Braille Order)
tough -> SQWH (Individual Reading Order, Merged Reading Order)
tough -> WITHCOU (Merged Reading Order, Standard Braille Order)
tough -> SQWH (Merged Reading Order, Individual Reading Order)
lie -> OBBC (Standard Braille Order, Individual Reading Order)
lie -> DUA (Standard Braille Order, Merged Reading Order)
lie -> OGHA (Individual Reading Order, Merged Reading Order)
lie -> OGHA (Merged Reading Order, Individual Reading Order)
chest -> CHCCC (Standard Braille Order, Individual Reading Order)
chest -> CHKCC (Individual Reading Order, Standard Braille Order)
weak -> CCLCC (Standard Braille Order, Merged Reading Order)
weak -> STFST (Individual Reading Order, Merged Reading Order)
weak -> ARSTC (Merged Reading Order, Standard Braille Order)
weak -> STFST (Merged Reading Order, Individual Reading Order)
pad -> RAF (Standard Braille Order, Individual Reading Order)
pad -> OFCHA (Standard Braille Order, Merged Reading Order)
pad -> GAO (Individual Reading Order, Standard Braille Order)
pad -> ANDCHA (Individual Reading Order, Merged Reading Order)
pad -> ANDCHA (Merged Reading Order, Individual Reading Order)
rod -> NDF (Standard Braille Order, Individual Reading Order)
rod -> ZEDK (Standard Braille Order, Merged Reading Order)
rod -> PLO (Individual Reading Order, Standard Braille Order)
rod -> VTHB (Individual Reading Order, Merged Reading Order)
rod -> PGHL (Merged Reading Order, Standard Braille Order)
rod -> VTHB (Merged Reading Order, Individual Reading Order)
sad -> FFAF (Standard Braille Order, Individual Reading Order)
sad -> GGCHA (Standard Braille Order, Merged Reading Order)
sad -> JAO (Individual Reading Order, Standard Braille Order)
sad -> THECHA (Individual Reading Order, Merged Reading Order)
sad -> THECHA (Merged Reading Order, Individual Reading Order)
meal -> HINE (Standard Braille Order, Merged Reading Order)
meal -> MBBK (Individual Reading Order, Merged Reading Order)
meal -> MBBK (Merged Reading Order, Individual Reading Order)
pot -> RDT (Standard Braille Order, Individual Reading Order)
pot -> VTHO (Standard Braille Order, Merged Reading Order)
pot -> GLT (Individual Reading Order, Standard Braille Order)
pot -> EDZL (Individual Reading Order, Merged Reading Order)
pot -> EDANDBB (Merged Reading Order, Standard Braille Order)
pot -> EDZL (Merged Reading Order, Individual Reading Order)
mars -> HJFF (Standard Braille Order, Individual Reading Order)
mars -> HFFJ (Individual Reading Order, Standard Braille Order)
mars -> THINL (Individual Reading Order, Merged Reading Order)
mars -> CHFOREA (Merged Reading Order, Standard Braille Order)
mars -> THINL (Merged Reading Order, Individual Reading Order)
theft -> GGLT (Standard Braille Order, Individual Reading Order)
theft -> THEZH (Standard Braille Order, Merged Reading Order)
theft -> WDT (Individual Reading Order, Standard Braille Order)
theft -> WVM (Individual Reading Order, Merged Reading Order)
theft -> WYST (Merged Reading Order, Standard Braille Order)
theft -> WVM (Merged Reading Order, Individual Reading Order)
swing -> OWMTH (Standard Braille Order, Merged Reading Order)
mint -> HBBT (Individual Reading Order, Standard Braille Order)
mint -> CHANDBB (Merged Reading Order, Standard Braille Order)
spin -> SUO (Standard Braille Order, Merged Reading Order)
spin -> JGBB (Individual Reading Order, Standard Braille Order)
spin -> JGHL (Individual Reading Order, Merged Reading Order)
spin -> JGHL (Merged Reading Order, Individual Reading Order)
wash -> THEAGH (Standard Braille Order, Individual Reading Order)
wash -> GGBEN (Standard Braille Order, Merged Reading Order)
jam -> SAH (Standard Braille Order, Individual Reading Order)
jam -> ARAH (Individual Reading Order, Standard Braille Order)
jam -> SINGA (Merged Reading Order, Standard Braille Order)
hero -> MANDD (Standard Braille Order, Individual Reading Order)
hero -> MYL (Individual Reading Order, Standard Braille Order)
hero -> RERIN (Individual Reading Order, Merged Reading Order)
hero -> QINR (Merged Reading Order, Standard Braille Order)
hero -> RERIN (Merged Reading Order, Individual Reading Order)
ion -> BBDG (Standard Braille Order, Individual Reading Order)
ion -> GGSHIN (Standard Braille Order, Merged Reading Order)
ion -> THEWHBB (Individual Reading Order, Merged Reading Order)
ion -> STHEBB (Merged Reading Order, Standard Braille Order)
ion -> THEWHBB (Merged Reading Order, Individual Reading Order)
peru -> RANDWH (Standard Braille Order, Individual Reading Order)
peru -> QMTH (Standard Braille Order, Merged Reading Order)
peru -> GYGH (Individual Reading Order, Standard Braille Order)
peru -> QHZ (Individual Reading Order, Merged Reading Order)
peru -> QHZ (Merged Reading Order, Individual Reading Order)
singer -> WWHX (Standard Braille Order, Merged Reading Order)
reed -> NCV (Standard Braille Order, Individual Reading Order)
reed -> ZGCH (Standard Braille Order, Merged Reading Order)
reed -> PKTH (Individual Reading Order, Standard Braille Order)
reed -> VNCH (Individual Reading Order, Merged Reading Order)
reed -> ANDCHGH (Merged Reading Order, Standard Braille Order)
reed -> VNCH (Merged Reading Order, Individual Reading Order)
vast -> ZACC (Standard Braille Order, Individual Reading Order)
vast -> UAH (Standard Braille Order, Merged Reading Order)
vast -> EDACC (Individual Reading Order, Standard Braille Order)
vast -> GHAM (Individual Reading Order, Merged Reading Order)
vast -> GHAM (Merged Reading Order, Individual Reading Order)
odd -> DFF (Standard Braille Order, Individual Reading Order)
odd -> YOWA (Standard Braille Order, Merged Reading Order)
odd -> LOO (Individual Reading Order, Standard Braille Order)
odd -> LWHL (Merged Reading Order, Standard Braille Order)
shut -> GHWHT (Standard Braille Order, Individual Reading Order)
shut -> WHGHT (Individual Reading Order, Standard Braille Order)
shut -> GHTHEAR (Merged Reading Order, Standard Braille Order)
inform -> BBFORH (Individual Reading Order, Standard Braille Order)
inform -> GGJR (Individual Reading Order, Merged Reading Order)
inform -> FFOFH (Merged Reading Order, Standard Braille Order)
inform -> GGJR (Merged Reading Order, Individual Reading Order)
cry -> BNER (Standard Braille Order, Individual Reading Order)
cry -> EPOF (Individual Reading Order, Standard Braille Order)
zoo -> THDD (Standard Braille Order, Individual Reading Order)
zoo -> OOWR (Standard Braille Order, Merged Reading Order)
zoo -> VLL (Individual Reading Order, Standard Braille Order)
zoo -> LLP (Merged Reading Order, Standard Braille Order)
arrow -> OWTGH (Individual Reading Order, Merged Reading Order)
arrow -> OWTGH (Merged Reading Order, Individual Reading Order)
rough -> NXU (Standard Braille Order, Individual Reading Order)
rough -> OQSH (Standard Braille Order, Merged Reading Order)
rough -> PXSH (Individual Reading Order, Standard Braille Order)
rough -> LQWH (Individual Reading Order, Merged Reading Order)
rough -> FORAOU (Merged Reading Order, Standard Braille Order)
rough -> LQWH (Merged Reading Order, Individual Reading Order)
outer -> XTAND (Standard Braille Order, Individual Reading Order)
outer -> XTY (Individual Reading Order, Standard Braille Order)
outer -> ZFOROW (Individual Reading Order, Merged Reading Order)
outer -> ZFOROW (Merged Reading Order, Individual Reading Order)
steam -> INGEAK (Individual Reading Order, Merged Reading Order)
steam -> INGEAK (Merged Reading Order, Individual Reading Order)
ace -> ABC (Standard Braille Order, Individual Reading Order)
ace -> AEK (Individual Reading Order, Standard Braille Order)
sue -> FFWHC (Standard Braille Order, Individual Reading Order)
sue -> FFCHM (Standard Braille Order, Merged Reading Order)
sue -> JGHK (Individual Reading Order, Standard Braille Order)
sue -> SCHH (Individual Reading Order, Merged Reading Order)
sue -> SFIN (Merged Reading Order, Standard Braille Order)
sue -> SCHH (Merged Reading Order, Individual Reading Order)
eggs -> CHTAR (Standard Braille Order, Merged Reading Order)
eggs -> KTHEJ (Individual Reading Order, Standard Braille Order)
eggs -> CHTFF (Individual Reading Order, Merged Reading Order)
eggs -> CHTFF (Merged Reading Order, Individual Reading Order)
mins -> HBBJ (Individual Reading Order, Standard Braille Order)
mins -> SHINL (Individual Reading Order, Merged Reading Order)
mins -> CHANDEA (Merged Reading Order, Standard Braille Order)
mins -> SHINL (Merged Reading Order, Individual Reading Order)
stem -> CCCH (Standard Braille Order, Individual Reading Order)
stem -> CCKH (Individual Reading Order, Standard Braille Order)
stem -> BBXEA (Merged Reading Order, Standard Braille Order)
opt -> DRT (Standard Braille Order, Individual Reading Order)
opt -> XGGO (Standard Braille Order, Merged Reading Order)
opt -> LGT (Individual Reading Order, Standard Braille Order)
opt -> OUTHEL (Individual Reading Order, Merged Reading Order)
opt -> OUOFK (Merged Reading Order, Standard Braille Order)
opt -> OUTHEL (Merged Reading Order, Individual Reading Order)
rap -> NAR (Standard Braille Order, Individual Reading Order)
rap -> ZHE (Standard Braille Order, Merged Reading Order)
rap -> PAG (Individual Reading Order, Standard Braille Order)
rap -> VMK (Individual Reading Order, Merged Reading Order)
rap -> ANDUA (Merged Reading Order, Standard Braille Order)
rap -> VMK (Merged Reading Order, Individual Reading Order)
charm -> CHJH (Standard Braille Order, Individual Reading Order)
charm -> CHFFH (Individual Reading Order, Standard Braille Order)
charm -> KGGI (Merged Reading Order, Standard Braille Order)
soup -> FFXR (Standard Braille Order, Individual Reading Order)
soup -> GGND (Standard Braille Order, Merged Reading Order)
soup -> JXG (Individual Reading Order, Standard Braille Order)
soup -> THERO (Individual Reading Order, Merged Reading Order)
soup -> WITHXCC (Merged Reading Order, Standard Braille Order)
soup -> THERO (Merged Reading Order, Individual Reading Order)
cod -> BDF (Standard Braille Order, Individual Reading Order)
cod -> ELO (Individual Reading Order, Standard Braille Order)
cod -> LOWBB (Merged Reading Order, Standard Braille Order)
singing -> OWAY (Standard Braille Order, Merged Reading Order)
gel -> PCO (Standard Braille Order, Individual Reading Order)
gel -> NKF (Individual Reading Order, Standard Braille Order)
gel -> ANDSTB (Merged Reading Order, Standard Braille Order)
doug -> FXP (Standard Braille Order, Individual Reading Order)
doug -> OXN (Individual Reading Order, Standard Braille Order)
mart -> HJT (Standard Braille Order, Individual Reading Order)
mart -> HFFT (Individual Reading Order, Standard Braille Order)
mart -> CHFORBB (Merged Reading Order, Standard Braille Order)
coin -> ELBB (Individual Reading Order, Standard Braille Order)
coin -> BSBB (Merged Reading Order, Standard Braille Order)
harm -> MJH (Standard Braille Order, Individual Reading Order)
harm -> THFIN (Standard Braille Order, Merged Reading Order)
harm -> MFFH (Individual Reading Order, Standard Braille Order)
harm -> ZDBB (Individual Reading Order, Merged Reading Order)
harm -> MGGB (Merged Reading Order, Standard Braille Order)
harm -> ZDBB (Merged Reading Order, Individual Reading Order)
deer -> FCAND (Standard Braille Order, Individual Reading Order)
deer -> OKY (Individual Reading Order, Standard Braille Order)
pal -> RAO (Standard Braille Order, Individual Reading Order)
pal -> REE (Standard Braille Order, Merged Reading Order)
pal -> GAF (Individual Reading Order, Standard Braille Order)
pal -> PKK (Individual Reading Order, Merged Reading Order)
pal -> PKK (Merged Reading Order, Individual Reading Order)
oven -> KFFX (Standard Braille Order, Merged Reading Order)
oven -> BSOU (Individual Reading Order, Merged Reading Order)
oven -> OUBWH (Merged Reading Order, Standard Braille Order)
oven -> BSOU (Merged Reading Order, Individual Reading Order)
gym -> PERH (Standard Braille Order, Individual Reading Order)
gym -> FORFAR (Standard Braille Order, Merged Reading Order)
gym -> NOFH (Individual Reading Order, Standard Braille Order)
gym -> FORDFF (Individual Reading Order, Merged Reading Order)
gym -> PWITHH (Merged Reading Order, Standard Braille Order)
gym -> FORDFF (Merged Reading Order, Individual Reading Order)
pie -> RBBC (Standard Braille Order, Individual Reading Order)
pie -> GUA (Standard Braille Order, Merged Reading Order)
pie -> NGHA (Individual Reading Order, Merged Reading Order)
pie -> NGHA (Merged Reading Order, Individual Reading Order)
tied -> TBBV (Standard Braille Order, Individual Reading Order)
tied -> WRCH (Standard Braille Order, Merged Reading Order)
bingo -> DCHAR (Standard Braille Order, Merged Reading Order)
bingo -> OCHFF (Individual Reading Order, Merged Reading Order)
bingo -> MFFIN (Merged Reading Order, Standard Braille Order)
bingo -> OCHFF (Merged Reading Order, Individual Reading Order)
cedar -> BVJ (Standard Braille Order, Individual Reading Order)
cedar -> ETHFF (Individual Reading Order, Standard Braille Order)
cedar -> ERENIN (Individual Reading Order, Merged Reading Order)
cedar -> ERENIN (Merged Reading Order, Individual Reading Order)
stud -> CCWHF (Standard Braille Order, Individual Reading Order)
